BS;FG-St;PF-St;*S/*P;SET;G2;G3;ZP;Material;Benennung;Denom.Estruct.;Vorhaben;Cese (Entfall);PRNummer;Fecha SOP;Früh. SOP-Entfall
2;B-FG;K-FG;*P;M11;M;;A;PDM06Q103;CARCASA CIGUEöAL;EA888evo4 (AT67161);.ZL02011;;+T2C/T3J+0K0;16/09/2024;31/12/9999
2;;;;M12;M;;F;578100114;VENTILADOR;KUEHLMATRIX SE336/0;.ZL02011;;;16/09/2024;31/12/9999
2;P-FG;P-FG;*P;M12;M;;F;5QS100114;VENTILADOR;Kühlermatrix;.ZL02011;;;16/09/2024;31/12/9999
2;P-FG;;;M60;A;;A;000890159B;COLECTOR;;.ZL02011;;;16/09/2024;31/12/9999
2;P-FG;;;M60;A;;A;000890159C;COLECTOR;;.ZL02011;;;16/09/2024;31/12/9999
2;B-FG;B-FG;*P;M37;D;;D;PDM1EE953;INTERMITENTE;iSMLS;.ZL02011;;+5QD;16/09/2024;31/12/9999
E;;;*P;M37;D;;D;;Leerteil;Leerteil;.ZL02011;;+5QD;16/09/2024;31/12/9999
2;;;*P;M51;J;;D;PDM5QS906;G-DISPOSIT.CARGA;ELEKTR. LEITUNGEN COCKPIT;.ZL02011;;;16/09/2024;31/12/9999
2;B-FG;B-FG;*P;M51;J;;D;PDM5QS925;INSERTO TABLERO;ELEKTR. LEITUNGEN COCKPIT;.ZL02011;;;16/09/2024;31/12/9999
2;B-FG;B-FG;*P;M51;J;;D;PDM5QS937;CENTRAL ELECTRICA;ZENTRALELEKTRIK HOCHVOLT;.ZL02011;;;16/09/2024;31/12/9999
2;B-FG;B-FG;*P;M51;J;;D;PDM5QS972;CABLES ELECTRICOS;ELEKTR. LEITUNGEN BODEN;.ZL02011;;;16/09/2024;31/12/9999
2;B-FG;B-FG;*P;M51;J;;J;PDM5QS971;CABLES ELECTRICOS;ELEKTR. LEITUNGEN MOTORRAUM;.ZL02011;;;16/09/2024;31/12/9999
2;;;;M51;J;;D;PDM83H971;CABLES ELECTRICOS;;.ZL02011;;;16/09/2024;31/12/9999
2;;;;M51;J;;J;PDM83H972;CABLES ELECTRICOS;;.ZL02011;;;16/09/2024;31/12/9999
2;K-FG;K-FG;;M51;J;;D;PDM578970;MAZO MODULAR;mazos auxiliares;.ZL02011;;;16/09/2024;31/12/9999
2;K-FG;K-FG;;M51;J;;D;PDM578972;CABLES ELECTRICOS;;.ZL02011;;;16/09/2024;31/12/9999
